"","X","county","latitude","longitude","year","month","pm","ozone","surface_pressure","precipitation","drought","fire_burnt_area","temperature","GDP","population","wind"
"1",1,"Alameda",37.6875,-121.7842,2017,1,8.10502466129032,41,994.613225798453,8.33464304453421,0,0,11.4755985383065,71.7488043580396,2249.58807588076,1.13741265362268
"2",2,"Alameda",37.6875,-121.7842,2017,2,4.80943319642857,43,993.190132166237,7.11130093500813,-1,0,14.0956403459822,71.7488043580396,2249.58807588076,1.44473412900646
"3",3,"Alameda",37.6875,-121.7842,2017,3,4.56877627419355,48,997.498787195001,1.88926201449443,-1,0,17.3658455141129,71.7488043580396,2249.58807588076,1.17402146402497
"4",4,"Alameda",37.6875,-121.7842,2017,4,4.75340908333333,52,994.787596954969,1.47574868662588,-1,0,18.4268229166667,71.7488043580396,2249.58807588076,1.59899081395322
"5",5,"Alameda",37.6875,-121.7842,2017,5,6.02809138709677,58,991.131427544138,0.0896000358132972,-1,0,24.1084425403226,71.7488043580396,2249.58807588076,2.23079115337017
"6",6,"Alameda",37.6875,-121.7842,2017,6,6.36399756666667,68,990.462067298155,0.160684582008816,-1,0,27.644140625,71.7488043580396,2249.58807588076,2.38487041563176
"7",7,"Alameda",37.6875,-121.7842,2017,7,8.0877980483871,54,991.255174816505,0.00131761553822003,-1,0,31.407365171371,71.7488043580396,2249.58807588076,2.14211924243308
"8",8,"Alameda",37.6875,-121.7842,2017,8,11.23938265,83,990.282071265622,0.00552154031322437,-1,1.43679,30.1430632560484,71.7488043580396,2249.58807588076,2.03294161353399
"9",9,"Alameda",37.6875,-121.7842,2017,9,11.1212137333333,86,990.141449365205,0.142340182990617,-1,0,28.4054361979167,71.7488043580396,2249.58807588076,1.63346494640693
"10",10,"Alameda",37.6875,-121.7842,2017,10,10.5897502741936,69,993.178882414204,0.136607558297429,-1,0,24.8156628024193,71.7488043580396,2249.58807588076,0.660115707690224
"11",11,"Alameda",37.6875,-121.7842,2017,11,7.22213765,42,995.608828853402,1.52199185915092,-1,0,17.6535807291666,71.7488043580396,2249.58807588076,0.762573897632588
"12",12,"Alameda",37.6875,-121.7842,2017,12,18.4066678225806,38,999.484368428883,0.0510003628791736,-1,0,15.2934538810484,71.7488043580396,2249.58807588076,0.413929441475425
"13",13,"Alameda",37.8648,-122.3027,2017,1,8.4887338,40,1003.73114982146,8.77567297093005,-0.8,0,11.9342048891129,71.7488043580396,2249.58807588076,1.00968259218129
"14",14,"Alameda",37.8648,-122.3027,2017,2,5.32379010714286,43,1002.2911815612,8.00711908706346,-1,0,14.1173688616072,71.7488043580396,2249.58807588076,1.64912430027007
"15",15,"Alameda",37.8648,-122.3027,2017,3,5.38144824193548,43,1006.81920675461,2.21525727204699,-1,0,17.5394216229838,71.7488043580396,2249.58807588076,1.7152960059534
"16",16,"Alameda",37.8648,-122.3027,2017,4,5.95409131034483,49,1004.06301750645,1.54606888286231,-1,0,18.57431640625,71.7488043580396,2249.58807588076,2.14067344877319
"17",17,"Alameda",37.8648,-122.3027,2017,5,7.05818722580645,39,1000.49684611188,0.0326559638609749,-1,0,22.9600365423387,71.7488043580396,2249.58807588076,3.11982047761268
"18",18,"Alameda",37.8648,-122.3027,2017,6,7.43028496666667,30,999.771237105733,0.219157353879321,-1,0,25.5160807291667,71.7488043580396,2249.58807588076,3.40627291715798
"19",19,"Alameda",37.8648,-122.3027,2017,7,8.11640653333333,27,1000.6712172684,0.00437501537458619,-1,0,27.2439327116935,71.7488043580396,2249.58807588076,3.35783241619698
